ts_ch1,ts_ch2,ts_ch3,ts_ch4,ts_ch5,ts_ch6,ts_ch7,ts_ch8,ts_ch9,ts_ch10,ts_ch11,ts_ch12,ts_ch13,ts_ch14,ts_ch15,ts_ch16,ts_ch17,ts_ch18,ts_ch19,ts_ch20,ts_ch21,ts_ch22,ts_ch23,ts_ch24,ts_ch25,ts_ch26,ts_ch27,ts_ch28,ts_ch29,ts_ch30,ts_ch31,ts_ch32,ts_ch33,ts_ch34,ts_ch35,ts_ch36,ts_ch37,ts_ch38,ts_ch39,ts_ch40,ts_ch41,ts_ch42,ts_ch43,ts_ch44,ts_ch45,ts_ch46,ts_ch47,ts_ch48,ts_ch49,ts_ch50,ts_ch51,ts_ch52,ts_ch53,ts_ch54,ts_ch55,ts_ch56,ts_ch57,ts_ch58,ts_ch59,ts_ch60,ts_ch61,ts_ch62,ts_ch63,ts_ch64,ts_ch65,ts_ch66,ts_ch67,ts_ch68,ts_ch69,ts_ch70,ts_ch71,ts_ch72,ts_ch73,ts_ch74,ts_ch75,ts_ch76,ts_ch77,ts_ch78,ts_ch79,ts_ch80,ts_ch81,ts_ch82,ts_ch83,ts_ch84,ts_ch85,ts_ch86,ts_ch87,ts_ch88,ts_ch89,ts_ch90,ts_ch91,ts_ch92,ts_ch93,ts_ch94,ts_ch95,ts_ch96,ts_ch97,ts_ch98,ts_ch99,ts_ch100,ts_ch101,ts_ch102,ts_ch103,ts_ch104,ts_ch105,ts_ch106,ts_ch107,ts_ch108,ts_ch109,ts_ch110,ts_ch111,ts_ch112,ts_ch113,ts_ch114,std_ch1,std_ch2,std_ch3,std_ch4,std_ch5,std_ch6,std_ch7,std_ch8,std_ch9,std_ch10,std_ch11,std_ch12,std_ch13,std_ch14,std_ch15,std_ch16,std_ch17,std_ch18,std_ch19,std_ch20,std_ch21,std_ch22,std_ch23,std_ch24,std_ch25,std_ch26,std_ch27,std_ch28,std_ch29,std_ch30,std_ch31,std_ch32,std_ch33,std_ch34,std_ch35,std_ch36,std_ch37,std_ch38,std_ch39,std_ch40,std_ch41,std_ch42,std_ch43,std_ch44,std_ch45,std_ch46,std_ch47,std_ch48,std_ch49,std_ch50,std_ch51,std_ch52,std_ch53,std_ch54,std_ch55,std_ch56,std_ch57,std_ch58,std_ch59,std_ch60,std_ch61,std_ch62,std_ch63,std_ch64,std_ch65,std_ch66,std_ch67,std_ch68,std_ch69,std_ch70,std_ch71,std_ch72,std_ch73,std_ch74,std_ch75,std_ch76,std_ch77,std_ch78,std_ch79,std_ch80,std_ch81,std_ch82,std_ch83,std_ch84,std_ch85,std_ch86,std_ch87,std_ch88,std_ch89,std_ch90,std_ch91,std_ch92,std_ch93,std_ch94,std_ch95,std_ch96,std_ch97,std_ch98,std_ch99,std_ch100,std_ch101,std_ch102,std_ch103,std_ch104,std_ch105,std_ch106,std_ch107,std_ch108,std_ch109,std_ch110,std_ch111,std_ch112,std_ch113,std_ch114
-0.000003,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000016,-0.000012,-0.000002,-0.000012,-0.000017,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000002,-0.000000,-0.000003,0.000017,0.000003,0.000010,0.000003,-0.000038,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000005,-0.000004,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000008,-0.000011,-0.000003,-0.000010,-0.000009,-0.000002,-0.000005,-0.000004,-0.000004,-0.000007,-0.000003,-0.000005,0.000002,0.000002,-0.000004,0.000001,0.000000,0.000016,0.000005,0.000007,0.000003,0.000010,0.000004,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000002,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000013,-0.000005,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000010,0.000001,-0.000010,-0.000013,-0.000007,-0.000010,-0.000008,-0.000009,-0.000017,-0.000014,-0.000003,0.000011,0.000012,0.000022,0.000009,0.000006,0.000006,0.000010,0.000008,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000031,0.000012,0.000016,0.000008,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000028,0.000013,0.000020,0.000025,0.000011,0.000046,0.000025,0.000027,0.000033,0.000042,0.000014,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000003,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000016,-0.000012,-0.000002,-0.000012,-0.000017,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000003,0.000011,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000005,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000008,-0.000011,-0.000003,-0.000010,-0.000009,-0.000002,-0.000005,-0.000004,-0.000004,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000016,0.000005,0.000007,0.000003,0.000011,0.000004,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000002,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000013,-0.000005,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000010,0.000001,-0.000010,-0.000013,-0.000007,-0.000010,-0.000009,-0.000009,-0.000017,-0.000014,-0.000003,0.000011,0.000012,0.000022,0.000010,0.000006,0.000006,0.000010,0.000008,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000031,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000028,0.000013,0.000020,0.000025,0.000011,0.000046,0.000026,0.000027,0.000033,0.000042,0.000014,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000003,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000016,-0.000012,-0.000002,-0.000013,-0.000017,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000003,0.000011,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000005,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000008,-0.000011,-0.000003,-0.000010,-0.000009,-0.000002,-0.000005,-0.000004,-0.000004,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000016,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000002,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000013,-0.000005,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000010,0.000001,-0.000010,-0.000013,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000014,-0.000003,0.000011,0.000012,0.000022,0.000010,0.000006,0.000006,0.000010,0.000008,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000031,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000028,0.000013,0.000020,0.000025,0.000011,0.000046,0.000026,0.000027,0.000033,0.000042,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000003,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000017,-0.000012,-0.000002,-0.000013,-0.000017,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000003,0.000011,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000009,-0.000011,-0.000003,-0.000010,-0.000009,-0.000002,-0.000005,-0.000004,-0.000004,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000013,-0.000006,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000011,0.000001,-0.000010,-0.000013,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000014,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000008,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000031,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000028,0.000013,0.000020,0.000025,0.000012,0.000047,0.000026,0.000027,0.000033,0.000042,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000017,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000003,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000009,-0.000012,-0.000003,-0.000010,-0.000010,-0.000002,-0.000005,-0.000004,-0.000004,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000013,-0.000006,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000011,0.000001,-0.000010,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000008,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000031,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000028,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000027,0.000033,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000018,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000003,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000009,-0.000012,-0.000003,-0.000010,-0.000010,-0.000002,-0.000005,-0.000004,-0.000005,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000014,-0.000006,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000011,0.000001,-0.000011,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000009,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000032,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000010,0.000005,0.000021,0.000029,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000027,0.000033,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000016,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000018,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000002,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000009,-0.000003,0.000007,-0.000009,-0.000012,-0.000003,-0.000010,-0.000010,-0.000002,-0.000005,-0.000004,-0.000005,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000000,-0.000014,-0.000006,-0.000011,-0.000002,-0.000006,-0.000006,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000012,-0.000011,0.000001,-0.000011,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000009,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000032,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000011,0.000005,0.000022,0.000029,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000028,0.000034,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000017,0.000008,0.000003,0.000004,0.000009,-0.000011,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000018,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000002,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000002,0.000001,-0.000001,0.000001,0.000001,-0.000010,-0.000003,0.000007,-0.000009,-0.000012,-0.000003,-0.000010,-0.000010,-0.000002,-0.000005,-0.000004,-0.000005,-0.000007,-0.000004,-0.000005,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000004,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000001,-0.000014,-0.000006,-0.000012,-0.000002,-0.000007,-0.000007,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000013,-0.000011,0.000001,-0.000011,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000009,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000032,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000011,0.000005,0.000022,0.000029,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000028,0.000034,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000017,0.000008,0.000003,0.000004,0.000009,-0.000012,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000018,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000002,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000003,0.000001,-0.000001,0.000001,0.000001,-0.000010,-0.000003,0.000006,-0.000009,-0.000012,-0.000003,-0.000011,-0.000010,-0.000002,-0.000005,-0.000004,-0.000005,-0.000007,-0.000004,-0.000006,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000005,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000001,-0.000014,-0.000006,-0.000012,-0.000002,-0.000007,-0.000007,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000013,-0.000011,0.000001,-0.000011,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000009,0.000007,0.000005,0.000006,0.000007,0.000013,0.000017,0.000032,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000011,0.000005,0.000022,0.000029,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000028,0.000034,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
-0.000004,0.000001,-0.000004,-0.000001,0.000000,0.000004,-0.000001,0.000017,0.000008,0.000003,0.000004,0.000009,-0.000012,0.000001,0.000004,-0.000017,-0.000013,-0.000002,-0.000013,-0.000018,0.000002,-0.000005,0.000003,-0.000004,-0.000006,-0.000003,-0.000001,-0.000004,0.000017,0.000002,0.000010,0.000003,-0.000039,-0.000006,0.000009,-0.000006,-0.000011,-0.000012,-0.000007,-0.000003,0.000007,-0.000006,-0.000005,-0.000002,0.000000,0.000003,0.000001,-0.000001,0.000001,0.000001,-0.000010,-0.000003,0.000006,-0.000009,-0.000012,-0.000003,-0.000011,-0.000010,-0.000002,-0.000005,-0.000004,-0.000005,-0.000008,-0.000004,-0.000006,0.000003,0.000002,-0.000005,0.000001,0.000000,0.000017,0.000005,0.000007,0.000003,0.000011,0.000005,-0.000004,0.000002,-0.000005,-0.000003,-0.000002,0.000001,-0.000001,0.000000,0.000003,0.000001,0.000003,0.000003,-0.000008,-0.000001,-0.000014,-0.000006,-0.000012,-0.000002,-0.000007,-0.000007,-0.000001,-0.000003,0.000004,0.000000,-0.000004,-0.000002,-0.000013,-0.000011,0.000001,-0.000011,-0.000014,-0.000007,-0.000010,-0.000009,-0.000009,-0.000018,-0.000015,-0.000003,0.000011,0.000012,0.000023,0.000010,0.000006,0.000006,0.000010,0.000009,0.000007,0.000005,0.000006,0.000007,0.000014,0.000017,0.000032,0.000013,0.000017,0.000009,0.000014,0.000013,0.000005,0.000009,0.000012,0.000006,0.000011,0.000005,0.000022,0.000029,0.000013,0.000020,0.000026,0.000012,0.000047,0.000026,0.000028,0.000034,0.000043,0.000015,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000000,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001,0.000001,0.000000,0.000001,0.000000,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0.000003,0.000002,0.000002,0.000002,0.000003,0.000001
